customer_msg,brand_reply
"Sick of this! 2nd Time in two weeks, what's the point paying for prime if this keeps happening! https://t.co/jEWsVnMD8l","Hey Nathan. Apologies for the delay. We try our best to deliver by the initial date provided. Have you been in touch? If so, what was advised? ^TP"
How'll I get refund of my order when replacement order is cancelled by @115850 and says u'll get refund 🙂,"You would have received an email with the reason for the cancellation of the order. Meanwhile, the refund would be processed to your original payment method. ^AH"
"my tracking number from @115821 says I requested a reschedule (I didn't) &amp; ""This package is being held for a future delivery date"" Help",I'm so sorry. Please reach out to us by phone so we can investigate this in real-time with you: https://t.co/qy3J24VGxb ^GR
hi can i order an item from amazon france to be delivered to me in england???,"Hi, yes your Amazon account can be accessed from any platform and you can purchase from it, more info https://t.co/RznF3Ast2W ^KE"
UNLOCK MY ACCOUNT. I DON'T KNOW WHY YOU LOCKED ME OUT. YOU ARE HOLDING MY MONEY HOSTAGE.,"I'm so sorry for the trouble with your account, Dakota. Without providing account specific details, please tell us a little more about what's going on. We're here to help! ^HS"
"hey @117634, why do you CONSTANTLY fail to notice there is something wrong with the phone model called @7689 Liquid Z360s? it KEEPS crashing right after i open it. i tried to report it at your site 4 times already and it's been one month. 😠","Hello, sorry for that, Have you placed the order on Amazon.fr?"
TFW you burn your thumb on the @117093 dry ice pack,"Oh no, Micah! We're sorry to hear this! Could you reach out to us here: https://t.co/2Bm6JTsnYx so we can take a closer look at the situation with you? We're here to help in any way we can!"
sucks never shopping from Amazon 30 days passed after booking the product still asking me to wait for 2 weeks....,"Please confirm, if we've missed the date mentioned here: https://t.co/pYHdlcj0Ot ? We'll assist you further. (2/2) ^SV"
Hey @117795 Here's the order information. NEVER DELIVERED! #customerservicefail https://t.co/DSMZspbXg4,"We don't want you to be without your order, Kristie! Have you reached out to us using the Prime Now app? Please let us know! ^FD"
"Thanks @115830 waited up for a delivery of my Echo between 10pm -12am for an in stock item, only to have the order cancelled at 23:14. Great service to a prime subscriber.",I'm sorry for the frustration! We're happy to review the order and any available options with you directly here: https://t.co/LHWJipXTIH ^JR
Amazon just don’t fucking make any silly excuses i have already replied you. Just look if you people are not blind then.Waiting since 20days,I get understand you're upset. Request you to revert to the mail you've received from us for further assistance.^SK
Hey @116090 I ordered something with Prime that was guaranteed to be here by today and it’s not 😞 I needed this order for tomorrow too.,I'm so sorry to hear you haven't received your order yet! What is the current tracking status for the order? You can review this information here: https://t.co/RYDC8N2UNg ^JS
i know i'm obsessive because i considered walking all the way home and all the way back just to check if my order arrived from amazon,I would walk 500 miles And I would walk 500 more Just to ensure that the package you ordered Arrives safely to your door ~ 🎶 ^FD
yet to receive my cash back from @119862 on purchase of moto g5s,I'm sorry about the delay. Kindly connect with us here: https://t.co/vlvfJr4nN9 we'd like to help. ^SG
"What is the difference between M.R.P and Price, specially in the context of books you sell on your site @115850",market and fluctuates.'Price' is the amount of money that is paid to acquire something. [2/2] ^HA
if I recharge from Amazon pay than I will get 8 coupon of 50 rupee in my jio app and also 101 rupees in Amazon pay account,Please connect with our support team here: https://t.co/2t6DQoUmNZ for further assistance on it. ^RW
been charged for prime wrongly and can’t find how to request a refund... can you help? Thanks,"Hi, you can cancel Prime here: https://t.co/90jFAPxout and if eligible you'll be refunded for unused service automatically. ^JJ"
"got home at half 6 Thinking my order was still to be delivered. Check online just to find it had been left by the front door! Checked all out side even checked with the neighbours, can't find it anywhere. Why would your delivery drivers leave it by the front door!?","I'm sorry for the poor experience! For clarification, did you have a safe place set for unattended deliveries? You can find more about this here: https://t.co/vaZpHQRgBf Let us know! We're here to help! ^KN"
How disappointing. It is more that 18 days now. And again @AmazonHelp needs more time. Is this the way you serve your customers? https://t.co/nFuNwbcaRH,"Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (2/2) ^AS"
I ordered a mini iPad this has been like this for 10 days has not moved I'm so upset https://t.co/TJrZBoIVz3,Sorry about that! Have you had a chance to reach out to the carrier? You can find there info here: https://t.co/627wOtpKE4 ^LS
"So my parcels faced 3-4 times ""Delay in delivery due to external factors"" but I am with my neighbour now and she ordered yesterday and her parcel is out for delivery now(she ordered one of my products). So poor, shame on you @115830","Hi Emily, this seems very strange. Is there any update on the tracking now? ^KK"
parcel said delivered but it hasn't been. Only received free gift. Two days ago,"Oh no! We're here to help, Sarah! I want to make sure we didn't miss you. Let's try following the steps here to locate your delivered parcel: https://t.co/xi8vHcQNZx Please let us know if it's still missing! ^FD"
my kindle won’t sync my last read page. I’ve tried all the solutions on your site. Any ideas? Thanks,"If you've gone through the troubleshooting steps on our site, please give us a call or chat here: https://t.co/JzP7hlA23B ^TG"
Please fix this bug in IOS. Annoyed. @119625 @AmazonHelp @116618 @115850 https://t.co/02BxU5KfZC,We'll be glad to help you. Kindly share your details here: https://t.co/beaaDm0muc so that we can fix this for you. ^SC
false promises. No updates &amp; not informing customers.. Is what I can say about Amazon delivery even after hvng prime membership,Please let us know if you need any assistance with your recent orders so that we could assist you accordingly. ^GS
"Amazon book review: When a review is deleted, is it permanently deleted? Or can the reviewer retrieve it and post it again?","Hi, If it's been deleted, it can no longer be retrieved I'm afraid. ^DC"
cud u plz solve prblm I am unable 2 use my gift card e1 I d'nt use Plz call/email so i cn share my details. Plz help.,support team using this link here: https://t.co/00q4Sq1ybb and we'll be glad to help. (2/2) ^KA
This is the second time my @115821 order has been late on delivery &amp; I pay good money to be a prime member 😓,I'm sorry your order has been delayed. Has the tracking updated with a new estimated delivery date https://t.co/X0jdNDxsel? ^CL
"love too have my Amazon delivery man not even attempt to knock on the door before ""delivery failed""-ing me, three hours after the promised delivery time",I am so sorry we have missed the delivery time! Can you tell us what the tracking information says here: https://t.co/aaDyEz1VgE ^LS
email says my parcel has been delivered. It hasn't...so where is it?!,"We're unable to access accounts on Twitter, but we're happy to look into this for you here: https://t.co/JzP7hlA23B ^LI"
Such a pathetic service I have ever experienced in my tenure with Amazon.Escalation team disconnected my callwithout a courtesy,I'm sorry for the trouble. Pleae fill in your details here: https://t.co/beaaDm0muc and we’ll contact you at the earliest. ^AU
"Please I need help, I do not know where I have my product.",We're here to help! What does the tracking details show here: https://t.co/Y5jpI9gRhE? ^KL
"and couriers have no problem lying. This is clearly becoming a pattern. False info-I didnt request delay, no delivery attempt made. Furious. Been Prime since it was first available. Need better couriers.",This definitely isn't what we strive for! We'd like to take a deeper look into this with you in real-time via phone or chat here: https://t.co/hApLpMlfHN ^ML
Wht all new things you can do with #Alexa ??@121284 @173329,Here is the Alexa Skills Guide: https://t.co/APoGXIqjMl . Please refer. ^GK
Hey @115821 where's the kindle I ordered last week with 2 day shipping,Hey Johnny! I'm really sorry you haven't received your order. What does the tracking currently say on the order? You can see it here: https://t.co/Y5jpI9gRhE ^AJ
"If I can’t access tracking, how will I know when this has arrived? Or what if it did arrive and it got taken off my porch? Amazon is usually spot on. https://t.co/Ji6Isew4tt","Apologies for the concern, Stephanie! Could you please confirm if this order was shipped by Amazon or shipped by one of our sellers? You'll be able to find that information here: https://t.co/Y5jpI9gRhE. Please keep us posted! We want to help! ^SD"
"Hi Amazon, I signed up this week and placed an order. Now when I try sign in, it says my email isn't registered? Please help!",Oh no! Sorry to hear this. When you signed up a week ago did you receive an email from us?^ES
why is every item I find on Amazon prime shipping 6 days out? Why isn't it 2 days like I'm paying for?,"Hi, you can click here to help better understand Shipping &amp; Delivery Dates: https://t.co/XDIbjTqMXj. I hope this helps. ^SY"
"Hello amazon ,I want to buy an iphone on emi . Can u help me how can I apply for emi","Hi, you can contact us here: https://t.co/vlvfJr4nN9. ^HN"
"I live in Tehran, Iran and want to shop at @115821. How can you help @AmazonHelp?","Hi Puya! You can find all countries we ship to here: https://t.co/VlUbaxuBlD If an item can't ship to your selected address, you'll be notified during the checkout process. Thank you! ^AB"
"Placed an order on @117795. Got redirected to an error page. Cart is empty. Go to my Orders, no order. Go back to a product, and there's a banner at the top saying I purchased the item today. Click on the ""View this order,"" end up on an error page. /shrug","I'm sorry for the difficulties you've experienced. Have you tried uninstalling and re-installing the app? That will occasionally fix technical errors. Keep us posted, we're here to help. ^SK"
Ugh. Back to the time now where filament orders from @115821 prime now take 3days to deliver,So sorry for the wait! Some items aren't able to be shipped immediately. What was the date given in your order confirmation e-mail? ^MH
not looking good as a prime customer next day delivery still no sign so why do i pay for this service ?,"I am sorry for your disappointment with this order! It is never our intention! Have we missed a delivery date quoted in your confirmation email? You can check here: https://t.co/aaDyEz1VgE Let us know Karl, we are here to help! ^DJ"
"they have this giveaway that I play all the time. Be cautious about when it tells you you won. They don't want to honor it. I caught hell over 8 ,I won. Know what I got? Nothing. Thanks amazon!!!","Hi Maybert, which promotion or giveaway are you playing? Do you have a link to it?^PJ"
"how come you advertise 2day shipping on all prime items, but my latest order won’t arrive for over 8 days after I placed it.","Hey, Jessica! Two-Day Shipping refers to the transit time, in business days, once an item has shipped out. You can find more information here: https://t.co/Yci7AoOJo7 ^LA"
Thanks @115830 - waited in today all day for my Dyson to be delivered.. no show! Brilliant service! Also have given my old Hoover away! #poorservice,I'm sorry for the frustration! What's the most recent tracking update: https://t.co/aaDyEz1VgE? ^KB
Order I'd 406-6912980-7202749 Amazon is cheating not picking item and Amazon is good in harassment coustomer.,"Please don't provide your order details, we consider it personal info. Our Twitter page is visible to public. ^NR 2/2"
Didn't get any resolution from you guys. U keep deducting money for the same thing. @115850 and @115821 please help.,Apologies. Kindly share your details here: https://t.co/ZEGjFWQWeH I'll check this for you. ^AR
There's a reason why I don't order much from @115821 anymore. They can't deliver for shit.#amazon #DeliveryDriver #sundaydelivery #daywasted https://t.co/i2umI2ok7J,"I'm very sorry for any frustration, Keith. Have we missed a promised delivery date provided in your order confirmation e-mail? If so, what is the latest tracking showing here: https://t.co/Y5jpI9ys9c We'd be happy to assist in any way possible! ^SK"
when you wait in all day for your @115830 package then get a notificatiom saying they were unable to deliver despite no one knocking 🙃,"I'm sorry you didn't receive your order! We'd like to look into this with you. When you have moment, please contact us by phone or chat here: https://t.co/qy3J24VGxb ^AC"
".@115850 If you guys can't honor no cost EMI, why offer it? Don't hack my orders and change them to your convenience #scam #ecommerce","That is quite a remark, Yashsavi. Could you let us know what went wrong so that we can assist you accordingly ? ^KS"
I have some around 20 kitkat amazon gift vouchers. but ur app or site does nt accept any of them.its really annoying.,Sorry for the trouble with the vouchers. Please report this to our support team here: https://t.co/vlvfJr4nN9. ^HA
"Dearest Amazon, The esitamed delivery date for my package is tomorrow, but according to the tracking USPS is still waiting to receive it from you. Help?","Sorry for the confusion over the tracking Vicki. It could be that your order has gone out with another courier, can you contact us on https://t.co/JzP7hlA23B so we can have a further look. ^SA"
why are my orders from Stoughton facility sent out and delayed at end of day? It's 10 miles away!,I'm so sorry about this delay! We want to help! Who was the carrier for this shipment?: https://t.co/Y5jpI9gRhE ^SD
you didn't deliver to my neighbour like you said you would!!!now 3 days late,"I'm so sorry it's late! Just to clarify, what was advised when you spoke with us yesterday? ^WJ"
"Purchased an Echo on Amazon India. Well sealed, looked brand new but when I tried to register my email ID and Cell No, through the App, I realised it had been used. Called the Pre-registered No and the individual confirmed he had returned the piece. Feel cheated. #amazonindia","That's not right! We'd want to fix this for you, please fill in your details here: https://t.co/GIJyeYqKE0 and we'll reach out to you. ^JC"
Love @116090 but is this really an appropriate sized shipping box? Big waste of cardboard #overkill #waste https://t.co/l2LzTlZ2V9,We're always looking for ways to improve! Please provide your feedback here: https://t.co/y7VvSYN6pf ^ZW
Worst experience with amazon India. Ordered a product on 22nd of… https://t.co/JyzEXbIvNI,Sorry to know about any delay with your order. Please reach us from here: https://t.co/ciK1UAqf0z we'll assist you. ^SV
"customercare completely useless,not helping, act like written scripts, no supervisor to speak with, 32K not refunded, AC cancelled",I'm sorry for the experience you had with our support team. Kindly drop in your details here: https://t.co/beaaDm0muc ^GK
"When, as a customer you review a book in @115850 should you review the content of the book or packing of it? 😊 https://t.co/i8BmXctWZu","It is to review the product, Abhijith. For packaging feedback please use this link here: https://t.co/BOC2qI06T6 ^KA"
Bought a phone on EMI a month back..But the transaction is not converted into EMI. Bank says no such intimation received from AMZ.,"That's unusual Aditya, apologies. Have you reported this to our support team here: https://t.co/vlvfJr4nN9 ? ^MP"
No it bloody-well wasn't. It was on the doorstep (in plain sight) when we got back home! https://t.co/IhBxbrtgkv,I'm sorry for the trouble. Please contact us here: https://t.co/JzP7hlA23B so we can get this addressed. ^CO
Yo @115830 I'm not even mad that your guy made up the 'safe place I told you about'. This was great fun. https://t.co/7ef5QwAu94,"I like the positive spin on this, Alex! We all need a bit of adventure in our lives! But, if you'd like to make sure your ""safe place"" is noted, take a quick look here: https://t.co/Ciu1YtQi7W . We are here if you need anything! ^FR"
How dare @115821 tell me that they lost my package. Go find it?? I don’t pay all this money for amazon prime for y’all to be doing this.,I'm sorry you haven't received your package! Please reach out to us here: https://t.co/hApLpMlfHN so we can explore options. ^TN
Terrible service again with in a week. Product still not deliver even after out for delivery. Major issue by @115821 courier team.,We apologize for the delay. Allow our support team to investigate . You can report this here: https://t.co/R3EfhzgU8B ^CB.
"406-5643992-6124355 is the order ID, 3000 times return initiated, no one comes to pick up...What a pathetic support..all sleeping",we consider it to be personal information. Our page is visible to public. 2/2^AR
"Hey, you’ve charged me twice for a purchase I’ve made today (Quantity is 1). How can we get this sorted out?",That sounds like it may have been an authorisation. Learn more about authorisations here: https://t.co/1pvX8e6Nnd ^ZW
OI CRAP BAGS. You took $15 from me and wont even let me watch anything because I live in Australia. WHY THE HELLLLLL DID YOU TAKE MY MONEY THEN AND NOT EVEN SAY ITS UNAVAILABLE IN MY COUNTRY????? GIVE. ME. MY. MONEY. BACK. https://t.co/5g3XGNpUuZ,"Sorry for any troubles caused! While we don't have direct access to your account on this platform, we still want to help! Just to clarify, which site (.com/.com.au/.co.uk/.ca/etc) did you sign up for the subscription on? ^TH"
thanks for stealing my money i did two day shipping now i have wait 3 more days thanks for nothing how hard is it to ship a CD,I'm sorry for the wait! Will you tell us who the carrier is for your order here: https://t.co/Y5jpI9gRhE? ^DW
"Another @115830 order another lie. ""Attempt at delivery was made"". No was in all day. Same week courier lied about Wolfenstein, what the..","So sorry! We would like to go over this issue with you in real-time, please contact us here: https://t.co/JzP7hlA23B ^LS"
"Update on recent phone return issue @115850: Wrote to CEO, refund confirmed, action taken on misbehaving employees in 4 days. Bravo!👏👏",I'm glad to that the issue has been resolved. Please keep us posted for further assistance. ^MN
"Hey @115821 why does it say my package was delivered yesterday (the day it was ""guaranteed"" by) when it wasn't?","I'm sorry you haven't received your delivery, Liam! Here are some tips that may help:https://t.co/Z3nyf8dtTw ^ML"
Read the story of how fake sellers make money with fake products https://t.co/VI2Ew1bPjs #amazon #diwaliloot #amazonindia #cheats #fake,are taken. We'll make sure such instances aren't repeated in the future. 3/3 ^EM
"Hi sir, Have dropped you a mail which might Interest you. Ms.Alice Powers replied but if you could pl give sometime to go through the mail would be great. @115821 @115850",Thank you for the heads up. Our team will look into it and get in touch with you. ^NS
amazon has adopted a cheap way of marketing.amazon has cancelled my order without any reason,https://t.co/NTkrxpsbHJ I'll surely forward your comments to the teams internally so they can look into it. (3/3)^HR
"When @115830 lose 2 of your deliveries in a row after deciding to upgrade to prime student and next day delivery, you would think service would be better, no worse...",I'm sorry we let you down. Are you having trouble with a recent order? What's the most current tracking update: https://t.co/aaDyEz1VgE? ^KB
I have bought one+5 in No Cost Emi through @17629 credit card but now i got message that bank would leive interest of 1.08% .. https://t.co/MCO7DWCA6p,That's unusual. Suggest you to connect with your bank. ^SG
"explain plz I ordered two days ago w one day shipping, haven’t gotten any email confirmations and it’s showing this?? https://t.co/VjO9W5wL3V",It's not uncommon for a package to be shipped the same day as the delivery date. Please keep us in the loop if it doesn't arrive by 8pm local time.​ ^SE
When ll I get my pkt? I am very sad in this rare courier service. Courier Delhivery Tracking 5180766190762,"Please don't provide your order details, as we consider them to be personal info. Our page is visible to the public. (2/2) ^GK"
"My @116090 package we supposed to be delivered yesterday, but I wasn't home so the courier left a notice to re-deliver the next day",I'm sorry you still haven't received the order. Was there any update on the tracking here: https://t.co/PyACxvY8Qo ^LA
"Gt mail, prodct been delivred successfully but not to me, don't know whom.what a poor crosscheck system, very pathetic @115821 #amazon",Have you reported it to the support team here: https://t.co/TxK11z5H93 (2/2)^HR
When @115821 sends you the wrong package..... I was expecting a doggie gate for my pup 🐶 and ended up with a BANJO 🎸. #samethingright #linusthelittleman #linuslearnsthebanjo,I am so sorry for the mix up! When you have a second you can check out your return options here: https://t.co/IkZF82De1D ^LS
"i haven't received my refund even after talking to your executives....what the hell, my number has been blocked now!!",please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon. (2/2) ^SY
Current mood: fear-crying on the phone with an @115821 customer service rep because #MenAreTrash THIS WOULD BE FUNNY IF WASN'T STATISTICALLY GONNA DIE @115821,"This is not the service we strive for! I'm very sorry we have let you down, Ellie. Give us a chance to make it right. Could you tell us more about what's going on? ^HM"
do I need 100 bank accounts to shop on your site. I needed to shop urgently. This sucks. https://t.co/vKfx57E0Zg,"My apologies for the trouble, Vikrant. Here is the list of payment methods accepted by us: https://t.co/rwxg6levMQ. ^KS"
What is this Critically Low on Storage nonsense on #FireTVStick? You made me #angry! #EpicFAIL #AmazonFail #BadCustomerService,I'm sorry the Fire TV is giving you trouble! Give us call we can take a closer look into this: https://t.co/hApLpMlfHN ^EP
ONo407-9019814-5796337 is with one year of warranty insted of 3 year. Deepak 7489398519,Please don’t provide your order details as we consider them to be personal info. Our page is visible to public. ^SG(2/2)
"Thanks for ruining my excitement to buy One+5@amazonIN. The delivery executive made 2 wrong remarks within the same day and I did not get my 33000 worth of prepaid shipment. PFA screenshot, could the address be any more complete? what's wrong with 9954374782? Shitty Experience! https://t.co/5gAEVr9jUa","I'm sorry about the delay in delivery, Aman. Have you escalated this to our support team here : https://t.co/vlvfJr4nN9? ^SB"
Just picked a package up from an Amazon locker. The wrapping was not properly done (inner flaps not folded over one book) as a result of which the cover is bent. Not happy https://t.co/XvL4O44Sbt,Oh no! This is not what we strive for. Let's check out refund/replacement options here: https://t.co/DpSiq2Xz0Z ^TR
"I was delivered an empty box yesterday, contents missing. who do I contact about this please?","Hello, I am sorry to hear this. Please reach out to us directly here: https://t.co/dLEsHyo7RQ https://t.co/JzP7hlA23B ^CR"
What's the point in having an delivery safe place if you keep disturbing my neighbours to get them to take it I in? 🤔 @AmazonHelp,Really sorry about this. Has this happened with a lot of your orders Tom? ^KM
hey @115821 - two day shipping does not equal thursday if today is sunday.,I'm so sorry for the frustration! Who is the carrier for the order? ^DD
I have made a request for a refund a week back. Your courier services hasn't made any try to contact me till now.,https://t.co/r8OjOk3OFb and we'll look into this for you. (2/2) ^VM
titles are in telugu and movie is in Tamil 🤷‍♂️. check guys 🤔 https://t.co/5O6ZIAtNDw,Thank you for flagging this out. We'll get this corrected soon. Appreciate your cooperation. ^BS
"Plan your Thanksgiving menu with Alexa – just say “Alexa, it’s turkey time” to get started! 🦃 https://t.co/vBnWCmzacC",😱 😨 Sounds a bit scary!! Have you tried to reset you device ? Learn more here:https://t.co/7mwCBdKmFI ^CR
3rd time my Prime order has been a date late. Guess I'll be requesting another refund (only needed item for an event) and rethinking this membership 😣,I'm sorry to hear this. Have you noticed a pattern with a specific carrier for the recent shipments? You can view this information here: https://t.co/RE7EVdCU1F ^GR
Sellers of India are burning the midnight oil to brighten India’s Diwali #thankyousellers https://t.co/y4GZ5JlcTP,Pricing and offers are decision of the sellers. I'll be sure to pass your feedback internally. ^SG
"I ordered this on the 27th of october, and it is still not here, was supposed to be delivered to mussoorie but after reaching Dehradun it says now it's in bloddy Tamil Nadu?, Could you please look into this https://t.co/icX0V3tPuy",: https://t.co/r8OjOjMdND and we'll look into this for you. (2/2) ^VM
why does my firestick have this latency issue? This countdown is to 1pm and its couple minutes behind. Help! @331517 @17326,Hi. I'm sorry for this experience. Have you tried restarting your Fire TV Stick and your network to refresh the connection between the two and clear out any cached data that may be behind this issue? ^DO
your remote control for the fire stick takes idiocy to levels I thought impossible. You need a pneumatic drill to open it to put the batteries in. Still not open and I'm about to launch it down the street. What a load of crap,"Hi Rusky, sorry to hear you're having difficulty with your Fire stick remote. Please check out this link for troubleshooting your remote: https://t.co/S1hsenIYDz. ^JC."
y there ll be quiz when u can't keep up with prizes @1843 and giving lengthy of explanation,"Sorry for any hassles, Kaushik. We do have prizes for the contests, could you elaborate on your concern? ^MS"
#amzl_us Be-FUCKING-ware. It's now 10pm and my package still isn't here. I've had this happen before in the past with AMZL. C'mon Amazon. https://t.co/rxFTD1QW7V,I'm sorry for the inconvenience. We'd like to investigate this with you. Please reach us here: https://t.co/rrsVz0tc0e ^GM
"My Amazon package was been ""Out For Delivery"" since 7am but never arrived. Guess I gotta wait another day for my birthday presant to myself. 😔","Hello, Colin. Deliveries can be made up until 9 pm. Please let us know if you don't receive your order within that time frame. ^FJ"
I did not receive my order! I need a position order # 302-8387698-3455546,Our customer service would be glad to check your order: https://t.co/Su5eCHNYlH Regards ^VM
"Hi got some credit on buying bournvita, but code is not working plz help. https://t.co/s4HpYaGG2x",Please get in touch with us here: https://t.co/tc3VJIYzxn we'll check it for you at the earliest. ^AU
"I know I make this complaint regularly, but why is there a direct path from @176 to @115821 but not the other way around?",Hi Matthew! Are you requesting a direct path to Good Reads via the website or an Amazon device? ^SH
"Hey guys, why is this order showing a conflict of information (specifically the time) losing patience with this :( https://t.co/R9ljplQk9M","Hi Liam, I'm sorry about this. Normally deliveries would be made until 8 pm but tomorrow we expect to work longer. ^AT"
Dear @115850 what i have ordered and what i got ... i have always going to return ... https://t.co/1wFtqrJpgJ,Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN
I have a brand new Samsung refrigerator waiting to be installed. 405-2344255-8252311 is my order number. 2 days and counting.,order details as we consider them to be personal information. Our Twitter page is visible to public. 3/3 ^SB
help please. I don’t even have amazon anymore not had or used it for around 3 years https://t.co/OZ9tf9i8ea,I'm sorry to see this! We'd like to look into this with you further! Please reach out to us here: https://t.co/JzP7hlA23B ^ME
I just got a message saying my order couldn’t be delivered as I wasn’t available. This is incorrect - I was available all day.,I'm sorry to know this. Did you happen to escalate this to our support team here: https://t.co/vlvfJr4nN9. ^MP
Stop telling me you’re missing my delivery promise FIX YOUR ESTIMATES FAM,Without providing us any personal information can you explain a bit more how we can help today? Thank you.^SM
Hey @AmazonHelp what kind of quality is this?? This is how my book from @129184 came out of the package..that’s just not right https://t.co/enmm6tLcpA,I'm sorry the book arrived damaged! You can find the available order options here: https://t.co/qmdqJrDSR2 ^SB
I returned a Prime Wardrobe order but got an email saying that something i returned was missing from the box. help?,Oh no! We do want to help. I cannot view account information via Twitter. Contact us by phone or chat:https://t.co/hApLpMlfHN ^CH
1st class delivery service by @118702 and 3rd class delivery service by @115850 @AmazonHelp and no reply for email query ....,"Apologies for any ordeal, Jitu. Could you please let us know what went wrong? We'd like to check it. ^HD"
is it ok to send 4 pool cues in such s large box &amp; do much paper #shame #Packaging https://t.co/hQ6xlZzcYy,Oh my! We're always looking to improve! Please give us your packaging feedback here: https://t.co/TH7UAFZey5 ^JD
My order has been delayed 3 times now. It now says today is the delivery date but it still hasn't been shipped. Kinda ridiculous,"I'm really sorry the item's delivery date keeps getting pushed back, Kierre. Could you tell us what the item is? ^AJ"
It's time to #LoveYourselfie - get your hands on the all-new Redmi Y1 &amp; Redmi Y1 Lite tomorrow noon on https://t.co/cwYEXdVQIo &amp; @115850 https://t.co/ygbSxbemwW,Apologies for the trouble. You may check this page for more information on cash on delivery: https://t.co/b5ddJ3SgJ6 ^JC
suspicious email telling me I've signed up to Amazon prime annual membership link to cancel takes me to PayPal account details,"Thank you so much for taking the time to do that, Charlotte! ^JZ"
I paid one day shipping for my pre-workout but now it may not arrive for 3-4 days @115821 @AmazonHelp,"Oh no, Kenya! Can you confirm the estimated delivery date in the email confirmation for me? ^LA"
been over a month since I was told I would be received a refund. Still waiting and now told it’s too late to give it to me!!,I'm sorry you haven't received your refund! Have you sent the item back as a return: https://t.co/aaDyEz1VgE? ^ME
email saying that I've successfully changed my email address. Which I didn't do! Your site is to easy to hack I won't be using you,I'm sorry to hear about the trouble! Have you tried to sign in to see if your password was really changed? ^HC
Tell me how a 2.97$ item has $19.95 in shipping +tax @115821!!! We really boutta fight tho,"Hi, sorry to hear that, what delivery method did you choose? ^AS"
I bought my new MacBook on the last week. I am Prime. You guys just said it will be here on the last week. Then “Sry It comes on the next week”. Okey. Today you said it comes now. Then just saw it doesnt come. Wtf is with u amazon?!,"Hi Gaius, sorry to hear about the delays. Did you place your order specifically on https://t.co/ykTUEmdsQA, https://t.co/nUUp5MLhYl or on one of our other sites? ^PJ"
"delivery: $5 book? Gently laid inside my screen door and knocked to notify. Sensitive, expensive electronics? Hurled over my back gate onto the sidewalk. #everydamntime","Hey Ian, I'm sorry for the delay in responding! We want to make sure your orders are delivered safely and intact. Who's the courier who tossed your package over your back gate: https://t.co/Y5jpI9gRhE? ^PF"
"As sad as this is @AmazonHelp why are you telling me? I've never tried to buy this, ever! https://t.co/VX90G52tmF",That's strange. Did you receive this message by email? ^KM
"my contact # is 9074993654,9131814245. Registered # 9425706612 . Now I can't even cancel it and I already paid for this order","Please don't provide your account details, we consider it to be personal info. Our Twitter page is visible to the public. ^MP 2/2"
why won't you let me log into my account,"Oh no! We'd like to help, Rachel! Could tell us more about the problem with logging into your account? ^HM"
prime delivery said Sat but get a message this am that a delivery delay due to transit. I would have gone to the local @Walmart,Sorry to hear of the delay Patrick - have we provided a revised delivery date? ^TD
